time_s,lat,lon,alt_m,phase
5130.0,35.531073,10.656847,29819.0,ascent
5140.0,35.530349,10.65533,29877.0,ascent
5150.0,35.529614,10.653568,29935.0,ascent
5160.0,35.528772,10.651733,29993.0,ascent
5170.0,35.528018,10.65003,30000.0,burst
5180.0,35.527213,10.648429,29573.8,descent
5190.0,35.526293,10.646816,29160.4,descent
5200.0,35.525453,10.645223,28759.0,descent
5210.0,35.524693,10.643817,28369.0,descent
5220.0,35.523805,10.642407,27989.7,descent
5230.0,35.522927,10.641213,27620.5,descent
5240.0,35.522111,10.639989,27260.9,descent
5250.0,35.521307,10.638855,26910.5,descent
5260.0,35.520489,10.637826,26568.7,descent
5270.0,35.519743,10.636641,26235.1,descent
5280.0,35.51901,10.635639,25909.4,descent
5290.0,35.518176,10.634663,25591.2,descent
5300.0,35.517353,10.633738,25280.2,descent
5310.0,35.516584,10.632824,24975.9,descent
5320.0,35.515789,10.632017,24678.3,descent
5330.0,35.514943,10.631357,24386.9,descent
5340.0,35.514117,10.630757,24101.4,descent
5350.0,35.513155,10.63019,23821.8,descent
5360.0,35.512244,10.629799,23547.7,descent
5370.0,35.51133,10.629508,23278.9,descent
5380.0,35.510475,10.629189,23015.2,descent
5390.0,35.509565,10.628749,22756.4,descent
5400.0,35.508719,10.628483,22502.3,descent
5410.0,35.507832,10.628357,22252.9,descent
5420.0,35.506952,10.628277,22007.8,descent
5430.0,35.506101,10.628277,21767.0,descent
5440.0,35.505334,10.62838,21530.3,descent
5450.0,35.504498,10.628475,21297.6,descent
5460.0,35.503731,10.628593,21068.7,descent
5470.0,35.502931,10.628755,20843.5,descent
5480.0,35.502201,10.628895,20621.9,descent
5490.0,35.501416,10.629129,20403.8,descent
5500.0,35.50067,10.629358,20189.0,descent
5510.0,35.499946,10.629654,19977.6,descent
5520.0,35.499226,10.629999,19769.3,descent
5530.0,35.498551,10.630357,19564.0,descent
5540.0,35.497903,10.630824,19361.8,descent
5550.0,35.497119,10.631334,19162.4,descent
5560.0,35.496352,10.631964,18965.9,descent
5570.0,35.495678,10.632567,18772.1,descent
5580.0,35.494951,10.633251,18581.0,descent
5590.0,35.494207,10.634052,18392.5,descent
5600.0,35.49352,10.634907,18206.5,descent
5610.0,35.492803,10.635778,18022.9,descent
5620.0,35.492148,10.636662,17841.8,descent
5630.0,35.491489,10.637626,17663.0,descent
5640.0,35.490776,10.638737,17486.4,descent
5650.0,35.490239,10.639873,17312.0,descent
5660.0,35.489657,10.640955,17139.9,descent
5670.0,35.489013,10.642034,16969.8,descent
5680.0,35.488376,10.643197,16801.7,descent
5690.0,35.487823,10.644473,16635.7,descent
5700.0,35.487303,10.645788,16471.6,descent
5710.0,35.486918,10.647341,16309.5,descent
5720.0,35.486533,10.648626,16149.2,descent
5730.0,35.486059,10.650064,15990.7,descent
5740.0,35.485644,10.651631,15834.1,descent
5750.0,35.48512,10.653265,15679.1,descent
5760.0,35.484622,10.654899,15525.9,descent
5770.0,35.484236,10.656649,15374.3,descent
5780.0,35.483795,10.658481,15224.4,descent
5790.0,35.48327,10.660272,15076.0,descent
5800.0,35.483017,10.661963,14929.3,descent
5810.0,35.482674,10.663813,14784.0,descent
5820.0,35.482423,10.665835,14640.3,descent
5830.0,35.48214,10.667826,14498.0,descent
5840.0,35.48155,10.670166,14357.2,descent
5850.0,35.481241,10.672322,14217.8,descent
5860.0,35.481098,10.674472,14079.7,descent
